asset.name,id,output
p482639,0012c3db-6f90-46d2-af47-121d5d46a572,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\windows\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.3570
    Should be      : 10.0.19041.3693

"
p003300,00ac4729-d309-4e9c-a8e2-c3a1bd2275bc,"'
The remote host is missing one of the following rollup KBs : 
  - 5032190

  - C:\windows\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.22621.2428
    Should be      : 10.0.22621.2715

"
p471012,012b85ac-e5af-4f1e-8558-218aec67ae25,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\WINDOWS\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.2251
    Should be      : 10.0.19041.3693

"
p457658,03cc5296-8c30-4c97-8223-1a0e309bf1f6,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\windows\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.3448
    Should be      : 10.0.19041.3693

"
p482684,04930575-c389-42e6-9577-e869b2ca50eb,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\WINDOWS\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.2486
    Should be      : 10.0.19041.3693

"
p524027,04bb3aeb-c332-40f3-8edc-6bda2a4d6b17,"'
  Path              : C:\Windows\System32\curl.exe
  Installed version : 7.79.1.0
  Fixed version     : 8.4.0



  Path              : C:\Windows\SysWOW64\curl.exe
  Installed version : 7.79.1.0
  Fixed version     : 8.4.0
"
p487499,052afbba-29f8-4e7f-8ca6-a0f468457c97,"'
  Path              : C:\Windows\System32\curl.exe
  Installed version : 8.0.1.0
  Fixed version     : 8.4.0



  Path              : C:\Windows\SysWOW64\curl.exe
  Installed version : 8.0.1.0
  Fixed version     : 8.4.0
"
p522482,05594ced-d6e7-4983-abad-782d17f8a1fd,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\WIndows\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.2965
    Should be      : 10.0.19041.3693

"
p506127,06c1fdcb-be1b-4e82-ac2b-ffe44c21304e,"'
  Path              : C:\Windows\System32\curl.exe
  Installed version : 8.0.1.0
  Fixed version     : 8.4.0



  Path              : C:\Windows\SysWOW64\curl.exe
  Installed version : 8.0.1.0
  Fixed version     : 8.4.0
"
p000700,07d4687d-8c47-4798-829a-9e61e4d4183f,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\windows\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.3324
    Should be      : 10.0.19041.3693

"
p524139,08e50296-116a-4015-b671-871037dbef32,"'
The remote host is missing one of the following rollup KBs : 
  - 5032190

  - C:\WIndows\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.22621.2283
    Should be      : 10.0.22621.2715

"
p523747,0c07c6c0-df53-486e-9b05-cbe23ad06a2e,"'
The remote host is missing one of the following rollup KBs : 
  - 5032190

  - C:\WIndows\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.22621.674
    Should be      : 10.0.22621.2715

"
p522369,0c8bc5be-c800-4546-81a8-eb6d4f40e6c7,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\WINDOWS\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.3570
    Should be      : 10.0.19041.3693

"
p506171,0d288d8f-e62a-48fe-9d1e-bfae985951af,"'
  Path              : C:\Windows\System32\curl.exe
  Installed version : 7.79.1.0
  Fixed version     : 8.4.0



  Path              : C:\Windows\SysWOW64\curl.exe
  Installed version : 7.79.1.0
  Fixed version     : 8.4.0
"
p523118,0e866899-887a-46ad-ac1d-6674d91ffa89,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\WINDOWS\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.2965
    Should be      : 10.0.19041.3693

"
p483664,0eba5237-4061-4ed0-a0e7-2542a652b497,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\WINDOWS\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.3570
    Should be      : 10.0.19041.3693

"
p523743,0ee411d0-3caa-4103-9266-9c4b3ac0aaf7,"'
  Path              : C:\Windows\System32\curl.exe
  Installed version : 8.0.1.0
  Fixed version     : 8.4.0



  Path              : C:\Windows\SysWOW64\curl.exe
  Installed version : 8.0.1.0
  Fixed version     : 8.4.0
"
p523128,10011495-585b-471c-93ae-6b8c65a734a3,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\WINDOWS\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.3570
    Should be      : 10.0.19041.3693

"
p523125,10f27004-60f0-4f9b-8dcc-4742ff8e5b32,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\WINDOWS\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.2965
    Should be      : 10.0.19041.3693

"
fun004900,123914e2-b015-473b-9c4e-d043f595f9f3,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\WINDOWS\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.3324
    Should be      : 10.0.19041.3693

"
p522132,12d20429-1687-459d-a533-ad15e100235f,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\WINDOWS\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.3448
    Should be      : 10.0.19041.3693

"
p506156,141d8621-e70c-45d8-bc11-fa33d0f159ac,"'
  Path              : C:\Windows\System32\curl.exe
  Installed version : 7.83.1.0
  Fixed version     : 8.4.0



  Path              : C:\Windows\SysWOW64\curl.exe
  Installed version : 7.83.1.0
  Fixed version     : 8.4.0
"
p470977,14a935fd-c2df-44f5-a68d-2aa565930e22,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\WIndows\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.3448
    Should be      : 10.0.19041.3693

"
p000454,14ba4291-eccf-4044-90ac-2ac7b6690679,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\WINDOWS\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.3448
    Should be      : 10.0.19041.3693

"
p478360,178c3f00-6be3-442b-a62a-3fd1a8443f5d,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\WINDOWS\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.3208
    Should be      : 10.0.19041.3693

"
p030194,1950c0fb-340d-408e-9dbd-3d1714be775e,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\WINDOWS\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.3570
    Should be      : 10.0.19041.3693

"
p523690,1c7b7ddb-1e8a-4faa-a269-3b0d219659c8,"'
  Path              : C:\Windows\System32\curl.exe
  Installed version : 8.0.1.0
  Fixed version     : 8.4.0



  Path              : C:\Windows\SysWOW64\curl.exe
  Installed version : 8.0.1.0
  Fixed version     : 8.4.0
"
p506192,1fc4106c-fd6d-4153-90ba-b7c0da79b570,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\WIndows\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.3570
    Should be      : 10.0.19041.3693

"
p483709,1fe026b7-2ed2-45f4-a40a-335ae2e42413,"'
  Path              : C:\Windows\System32\curl.exe
  Installed version : 8.0.1.0
  Fixed version     : 8.4.0



  Path              : C:\Windows\SysWOW64\curl.exe
  Installed version : 8.0.1.0
  Fixed version     : 8.4.0
"
p522435,20d693c1-ffc9-4957-a923-5fb9d2269292,"'
The remote host is missing one of the following rollup KBs : 
  - 5032189

  - C:\WINDOWS\system32\ntoskrnl.exe has not been patched.
    Remote version : 10.0.19041.3570
    Should be      : 10.0.19041.3693

"
