asset.name;id;output
;" ";"D$\Sinap-Coisas\CargaBase\lib\log4j-core-2.11.1.jar"
p482835;1ae198ff-bdf5-4355-969d-22b70087ebd4;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p485254;1b5bb684-5c54-4271-8189-81ec2de75805;
;" ";"C$\Users\e805714\Desktop\CargaBase\lib\cargabasebusiness-9.7RC.jar"
;" ";"C$\Users\e805714\Desktop\CargaBase\lib\cargabasepersistence_6.2RC.jar"
;" ";"D$\Egrid_CargaBase\CargaBase_3.1\CargaBase\lib\cargabasebusiness-9.7RC.jar"
;" ";"D$\Egrid_CargaBase\CargaBase_3.1\CargaBase\lib\cargabasepersistence_6.2RC.jar"
p483069;1c0b47ae-f1fc-4a63-9480-b099897c7f82;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p487477;228d1863-fc43-408c-bebf-7bcf3145ab2d;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p488783;24310b1e-9cab-41dc-845d-f8ffa766ed04;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p488023;25221908-6e17-447d-b793-639871d628e9;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p482777;255c46bf-5ecb-4e31-b180-76fa2d45b433;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p522335;2646111e-6f7d-41a0-8385-e95bc4f3e203;
;" ";"C$\Temp\Ora12_32\stage\Components\oracle.dbdev\12.2.0.1.0\1\DataFiles\filegroup1.jar"
p483062;270354e5-dd04-4f17-a0a5-2a11a3b6ed58;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p000806;2707718c-086b-46fa-ad44-6f0fc7da0e87;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p487878;28226d3e-d675-43d1-9de5-3c97227e2ff9;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p487567;291c379c-8062-4cd6-bef8-d937a83e1466;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\Users\c023319\PDF Split And Merge\lib\log4j-1.2.15.jar"
;" ";"D$\BACKUP Ligia\PDF Split And Merge\lib\log4j-1.2.15.jar"
p522446;2ad9b1dd-b2b3-4aa3-9aa8-26ff80b41835;
;" ";"D$\bkphp\william\Automação\SAGE\CURSO_SAGE_DEZ_17\Base Fonte Curso\lib\java\log4j-1.2.14.jar"
;" ";"D$\bkphp\william\Automação\SAGE\CURSO_SAGE_DEZ_17\sage_28\lib\java\log4j-1.2.14.jar"
p487499;2be1365a-4d9f-4b71-8941-50d98e969359;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p522415;2bfef55b-3b5d-4d8a-96db-af0b37b2d53b;
;" ";"D$\Automação\SASE_NãoPodeApagar_7.0.4\EditorSASE_NãoPodeApagar-7.0.4\lib\log4j-1.2.17.jar"
p487015;2c225bf4-453d-4c93-b3d8-e162712e4f04;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p487948;2ccba4c4-bffe-4ef2-bf62-12cf526b38b9;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p489257;2d9874f9-46fb-430d-bb32-1b9ea1448f17;
;" ";"D$\Arquivos de Programas\EditorSASE_NãoPodeApagar-7.0.0-rev2-beta3\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar7\Ades3.0.0_java_embutido\ades_lib\log4j-1.2.13.jar"
;" ";"D$\SASE_NãoPodeApagar7\SASE_NãoPodeApagar_7.0.3\EditorSASE_NãoPodeApagar-7.0.3\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar7\SASE_NãoPodeApagar_7.1.0\EditorSASE_NãoPodeApagar-7.1.0\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar7\VERSÕES\SASE_NãoPodeApagar_7.0.3\EditorSASE_NãoPodeApagar-7.0.3\lib\log4j-1.2.17.jar"
p522380;2e036538-a975-4afe-a0cb-0ef2aaf4271c;
;" ";"C$\Temp\Oracle_12_32\stage\Components\oracle.dbdev\12.2.0.1.0\1\DataFiles\filegroup1.jar"
;" ";"D$\SASE_NãoPodeApagar_7.0.3\EditorSASE_NãoPodeApagar-7.0.3\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar_7.0.1\EditorSASE_NãoPodeApagar-7.0.1\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar_7.0.2\EditorSASE_NãoPodeApagar-7.0.2\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar_7.0.4\EditorSASE_NãoPodeApagar-7.0.4\lib\log4j-1.2.17.jar"
p487479;30d2d5de-9c2e-4660-8caa-3bf890084819;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p487393;30f5f3b3-e996-4daf-8be8-76b9c0ab50f5;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p485249;31ae36e0-df9c-42d8-9547-552812eb1ac1;
;" ";"C$\Carga Base\CargaBase_3.1\CargaBase\lib\cargabasebusiness-9.7RC.jar"
;" ";"C$\Carga Base\CargaBase_3.1\CargaBase\lib\cargabasepersistence_6.2RC.jar"
;" ";"C$\Carga Base\CargaBase_3.1\CargaBase\lib\log4j-core-2.11.1.jar"
p487962;326f9e7a-718f-4ae4-bed9-084571fb12e6;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p480712;337b2eae-1edb-4e8c-b004-07fefb323159;
;" ";"C$\web\WEB-INF\lib\log4j-1.2.13.jar"
p489407;337ff047-a761-4e61-8f9d-c71f518fbe6a;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p487097;3468d0e8-349b-4d8a-b749-74fc07179b7a;
;" ";"C$\Program Files (x86)\ACL Software\ACL for Windows 14\ACL App\lib\log4j-core-2.8.2.jar"
p030164;3691eab4-3e2b-4799-a04c-7c90588c0c7d;
;" ";"C$\Users\c800967\Desktop\Curso Automação SE\SASE_NãoPodeApagar\Executaveis\6.x.x.x\6.5.0.0\SDG\1.2.0\Editor\EditorSDG-1.4.2\lib\log4j-1.2.13.jar"
;" ";"C$\Users\c800967\Documents\Backup Pend Drive Copel\Artur\U2000\client\engineering\product_msuiteclient\plugin_NBI_Plugins_1.1.0.jar"
;" ";"C$\Users\c800967\Documents\Backup Pend Drive Copel\Artur\U2000\client\lib\3rd_tools\log4j-1.2.14.jar"
;" ";"D$\Fábrica\SASE_NãoPodeApagar\Executaveis\6.x.x.x\6.5.0.0\SDG\1.2.0\Editor\EditorSDG-1.4.2\lib\log4j-1.2.13.jar"
p489859;36da4e55-15a5-4b7c-87e0-52cf1f78124f;
;" ";"C$\web\WEB-INF\lib\log4j-1.2.13.jar"
p522402;3718564c-8614-44ce-bcb1-23eee38ee7e4;
;" ";"D$\GERAL\SASE_NãoPodeApagar\6.5.0.0\SDG\1.2.0\Editor\EditorSDG-1.4.2\lib\log4j-1.2.13.jar"
p480739;38768c0b-4647-4986-b0c2-f6a8e5ca5330;
;" ";"C$\web\WEB-INF\lib\log4j-1.2.13.jar"
p480735;391ccbcc-f690-4d87-a1cf-93af8ad7c3a1;
;" ";"C$\web\WEB-INF\lib\log4j-1.2.13.jar"
p489574;3bd13526-53a5-44b9-849d-fcde307b55c2;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p487959;3cad629f-4914-4d45-a85e-2768e6bacb3c;
;" ";"C$\APL\SIGEP WEB\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SIGEP WEB\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SIGEP WEB\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SIGEP WEB\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p487126;3cc46e67-1229-4eb5-b2f6-be627c5855f6;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p000005;40c00a78-d4e2-4054-8974-39dede09e230;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
tod506061;40c40d47-637b-4948-8eaa-4ba60badd763;
;" ";"D$\SASE_NãoPodeApagar\Executaveis\6.x.x.x\6.5.0.0\SDG\1.2.0\Editor\EditorSDG-1.4.2\lib\log4j-1.2.13.jar"
;" ";"D$\Padronização\Padronização\Padronização de Descritivos\Ades3.0.0_java_embutido\ades_lib\log4j-1.2.13.jar"
;" ";"D$\Padronização\Padronização\Padronização de Descritivos\Ades3.0.0\ades_lib\log4j-1.2.13.jar"
;" ";"D$\Padronização\Padronização\Padronização de Descritivos\gerpADES\gerpADES_lib\log4j-1.2.13.jar"
;" ";"D$\Padronização\SASE_NãoPodeApagar7\SASE_NãoPodeApagar_7.0.3\EditorSASE_NãoPodeApagar-7.0.3\lib\log4j-1.2.17.jar"
p487951;41009419-9c6b-40ca-a1da-553fd70dd971;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p482667;41671325-d641-4d3c-a74d-07ab4b3a2bba;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p489862;4171fb4c-61b1-4a43-96ec-ddebd5d75654;
;" ";"C$\web\WEB-INF\lib\log4j-1.2.13.jar"
p523821;44311553-6195-43bd-8e9e-ee7de0aa4e8e;
;" ";"D$\Automação\6.5.0.0\SDG\1.2.0\Editor\EditorSDG-1.4.2\lib\log4j-1.2.13.jar"
p483659;4489d846-39d3-4e65-8423-7e47f1cee021;
;" ";"C$\Cepel\Anarede\V110702\lib\java\log4j-1.2.14.jar"
p483715;466803ba-8541-47af-9de0-1fc5af4f8005;
;" ";"D$\Curso SASE_NãoPodeApagar\EditorSASE_NãoPodeApagar-7.0.0-rev2-beta3\lib\log4j-1.2.17.jar"
;" ";"D$\Geral\SASE_NãoPodeApagar7\SASE_NãoPodeApagar_7.0.0-rev2-alfa1\EditorSASE_NãoPodeApagar-7.0.0-rev2-alfa1\lib\log4j-1.2.17.jar"
;" ";"D$\Geral\SASE_NãoPodeApagar\Executaveis\6.x.x.x\6.5.0.0\SDG\1.2.0\Editor\EditorSDG-1.4.2\lib\log4j-1.2.13.jar"
;" ";"D$\SASE_NãoPodeApagar 7\IGI\SASE_NãoPodeApagar_7.0.2\EditorSASE_NãoPodeApagar-7.0.2\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar 7\PAN\EditorSASE_NãoPodeApagar-7.0.2\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar 7\SASE_NãoPodeApagar_7.0.0-rev2-RC1 - Copia\EditorSASE_NãoPodeApagar-7.0.0-rev2-rc1\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar 7\SASE_NãoPodeApagar_7.0.0-rev2-RC1\EditorSASE_NãoPodeApagar-7.0.0-rev2-beta3\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar 7\SASE_NãoPodeApagar_7.0.0-rev2-RC1\EditorSASE_NãoPodeApagar-7.0.0-rev2-rc1\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar 7\SASE_NãoPodeApagar_7.0.0-rev2-beta3\EditorSASE_NãoPodeApagar-7.0.0-rev2-beta3\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar 7\SASE_NãoPodeApagar_7.0.0-rev2-beta3c\EditorSASE_NãoPodeApagar-7.0.0-rev2-beta3\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar 7\SASE_NãoPodeApagar_7.0.0\EditorSASE_NãoPodeApagar-7.0.0\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar 7\SASE_NãoPodeApagar_7.0.1\EditorSASE_NãoPodeApagar-7.0.1\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar 7\SASE_NãoPodeApagar_7.0.2\EditorSASE_NãoPodeApagar-7.0.2\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar 7\SASE_NãoPodeApagar_7.0.3 - Copia\EditorSASE_NãoPodeApagar-7.0.3\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar 7\SASE_NãoPodeApagar_7.0.3\EditorSASE_NãoPodeApagar-7.0.3\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar 7\TSO\SASE_NãoPodeApagar_7.0.2\EditorSASE_NãoPodeApagar-7.0.2\lib\log4j-1.2.17.jar"
p470968;472f1d7c-6b27-4cd1-bfe3-6ac23f32e4c6;
